Cell,Louvain_Stage,Annotation
cell_405,5,post Primitive Streak; early Extra embryonic mesoderm
cell_407,8,Hemogenic
cell_408,1,Trophectoderm
cell_409,3,ant Epiblast
cell_410,8,Hemogenic
cell_413,13,Primitive Streak
cell_415,7,Extraembryonic mesoderm
cell_416,1,Trophectoderm
cell_417,0,Visceral Endoderm
cell_420,1,Trophectoderm
cell_421,0,Visceral Endoderm
cell_422,5,post Primitive Streak; early Extra embryonic mesoderm
cell_424,3,ant Epiblast
cell_425,13,Primitive Streak
cell_426,4,Primitive Streak
cell_427,8,Hemogenic
cell_429,1,Trophectoderm
cell_430,10,Caudal Epiblast
cell_431,3,ant Epiblast
cell_432,7,Extraembryonic mesoderm
cell_433,2,ant Neuroectoderm
cell_434,1,Trophectoderm
cell_435,0,Visceral Endoderm
cell_436,11,* Visceral Endoderm
cell_437,0,Visceral Endoderm
cell_438,5,post Primitive Streak; early Extra embryonic mesoderm
cell_439,0,Visceral Endoderm
cell_440,0,Visceral Endoderm
cell_441,0,Visceral Endoderm
cell_442,9,Definitive Endoderm
cell_444,7,Extraembryonic mesoderm
cell_449,12,CardioPahayngeal progenitor
cell_450,6,Visceral Endoderm
cell_451,0,Visceral Endoderm
cell_454,6,Visceral Endoderm
cell_455,12,CardioPahayngeal progenitor
cell_457,6,Visceral Endoderm
cell_459,9,Definitive Endoderm
cell_462,2,ant Neuroectoderm
cell_463,1,Trophectoderm
cell_465,1,Trophectoderm
cell_466,0,Visceral Endoderm
cell_467,0,Visceral Endoderm
cell_468,10,Caudal Epiblast
cell_469,8,Hemogenic
cell_470,1,Trophectoderm
cell_471,12,CardioPahayngeal progenitor
cell_475,0,Visceral Endoderm
cell_476,0,Visceral Endoderm
cell_477,13,Primitive Streak
cell_479,9,Definitive Endoderm
cell_482,2,ant Neuroectoderm
cell_484,8,Hemogenic
cell_486,12,CardioPahayngeal progenitor
cell_490,0,Visceral Endoderm
cell_491,12,CardioPahayngeal progenitor
cell_492,1,Trophectoderm
cell_494,4,Primitive Streak
cell_495,8,Hemogenic
cell_496,6,Visceral Endoderm
cell_497,1,Trophectoderm
cell_498,8,Hemogenic
cell_499,0,Visceral Endoderm
cell_500,5,post Primitive Streak; early Extra embryonic mesoderm
cell_501,9,Definitive Endoderm
cell_502,4,Primitive Streak
cell_503,3,ant Epiblast
cell_505,1,Trophectoderm
cell_506,13,Primitive Streak
cell_507,10,Caudal Epiblast
cell_508,7,Extraembryonic mesoderm
cell_509,7,Extraembryonic mesoderm
cell_510,5,post Primitive Streak; early Extra embryonic mesoderm
cell_511,0,Visceral Endoderm
cell_512,8,Hemogenic
cell_514,4,Primitive Streak
cell_516,3,ant Epiblast
cell_518,1,Trophectoderm
cell_519,8,Hemogenic
cell_521,1,Trophectoderm
cell_523,0,Visceral Endoderm
cell_524,12,CardioPahayngeal progenitor
cell_526,5,post Primitive Streak; early Extra embryonic mesoderm
cell_527,6,Visceral Endoderm
cell_528,0,Visceral Endoderm
cell_529,4,Primitive Streak
cell_530,2,ant Neuroectoderm
cell_532,7,Extraembryonic mesoderm
cell_533,0,Visceral Endoderm
cell_534,4,Primitive Streak
cell_539,8,Hemogenic
cell_541,4,Primitive Streak
cell_542,7,Extraembryonic mesoderm
cell_544,6,Visceral Endoderm
cell_546,12,CardioPahayngeal progenitor
cell_547,11,* Visceral Endoderm
cell_548,3,ant Epiblast
cell_549,8,Hemogenic
cell_550,1,Trophectoderm
cell_553,6,Visceral Endoderm
cell_554,5,post Primitive Streak; early Extra embryonic mesoderm
cell_555,10,Caudal Epiblast
cell_556,13,Primitive Streak
cell_557,7,Extraembryonic mesoderm
cell_559,0,Visceral Endoderm
cell_562,5,post Primitive Streak; early Extra embryonic mesoderm
cell_563,3,ant Epiblast
cell_564,12,CardioPahayngeal progenitor
cell_565,5,post Primitive Streak; early Extra embryonic mesoderm
cell_566,10,Caudal Epiblast
cell_567,3,ant Epiblast
cell_569,1,Trophectoderm
cell_572,0,Visceral Endoderm
cell_574,6,Visceral Endoderm
cell_577,1,Trophectoderm
cell_578,11,* Visceral Endoderm
cell_580,7,Extraembryonic mesoderm
cell_581,0,Visceral Endoderm
cell_582,10,Caudal Epiblast
cell_584,3,ant Epiblast
cell_585,13,Primitive Streak
cell_586,0,Visceral Endoderm
cell_587,1,Trophectoderm
cell_588,0,Visceral Endoderm
cell_589,4,Primitive Streak
cell_590,10,Caudal Epiblast
cell_594,5,post Primitive Streak; early Extra embryonic mesoderm
cell_597,3,ant Epiblast
cell_599,7,Extraembryonic mesoderm
cell_600,0,Visceral Endoderm
cell_601,0,Visceral Endoderm
cell_602,10,Caudal Epiblast
cell_603,12,CardioPahayngeal progenitor
cell_604,1,Trophectoderm
cell_605,12,CardioPahayngeal progenitor
cell_606,5,post Primitive Streak; early Extra embryonic mesoderm
cell_607,3,ant Epiblast
cell_608,4,Primitive Streak
cell_609,8,Hemogenic
cell_610,9,Definitive Endoderm
cell_612,2,ant Neuroectoderm
cell_613,7,Extraembryonic mesoderm
cell_614,0,Visceral Endoderm
cell_616,7,Extraembryonic mesoderm
cell_617,11,* Visceral Endoderm
cell_618,5,post Primitive Streak; early Extra embryonic mesoderm
