Cell,Louvain_Stage,Annotation
cell_67054,4,Proneural Caudal/SC
cell_67056,1,Caudal Epiblast
cell_67057,18,FHF
cell_67058,3,Immature cardiac (FHF)
cell_67059,7,Early pxm
cell_67060,6,Extraembryonic Mesoderm: allantois
cell_67061,18,FHF
cell_67062,10,Pharyngeal endoderm 1
cell_67063,1,Caudal Epiblast
cell_67064,10,Pharyngeal endoderm 1
cell_67065,14,Pharyngeal endoderm 2
cell_67066,9,Lateral Plate mes (LPM)
cell_67068,18,FHF
cell_67069,11,Forebrain
cell_67070,2,"Mid-brain, Hund-brain"
cell_67071,0,Blood
cell_67072,5,post Epiblast: IM+LPM
cell_67074,11,Forebrain
cell_67075,2,"Mid-brain, Hund-brain"
cell_67076,8,somites*
cell_67077,6,Extraembryonic Mesoderm: allantois
cell_67078,14,Pharyngeal endoderm 2
cell_67080,6,Extraembryonic Mesoderm: allantois
cell_67082,0,Blood
cell_67084,7,Early pxm
cell_67086,7,Early pxm
cell_67087,6,Extraembryonic Mesoderm: allantois
cell_67090,0,Blood
cell_67091,2,"Mid-brain, Hund-brain"
cell_67093,10,Pharyngeal endoderm 1
cell_67094,3,Immature cardiac (FHF)
cell_67095,3,Immature cardiac (FHF)
cell_67096,18,FHF
cell_67097,11,Forebrain
cell_67098,16,Endoderm
cell_67100,13,Endothelium
cell_67101,17,?
cell_67103,9,Lateral Plate mes (LPM)
cell_67104,19,Blood
cell_67105,7,Early pxm
cell_67106,17,?
cell_67107,2,"Mid-brain, Hund-brain"
cell_67108,4,Proneural Caudal/SC
cell_67109,2,"Mid-brain, Hund-brain"
cell_67110,18,FHF
cell_67112,15,ant Mesoderm
cell_67115,8,somites*
cell_67116,14,Pharyngeal endoderm 2
cell_67117,8,somites*
cell_67118,11,Forebrain
cell_67119,4,Proneural Caudal/SC
cell_67120,13,Endothelium
cell_67121,13,Endothelium
cell_67122,8,somites*
cell_67123,10,Pharyngeal endoderm 1
cell_67124,6,Extraembryonic Mesoderm: allantois
cell_67125,4,Proneural Caudal/SC
cell_67126,9,Lateral Plate mes (LPM)
cell_67127,2,"Mid-brain, Hund-brain"
cell_67128,0,Blood
cell_67129,12,Visceral Endoderm
cell_67130,1,Caudal Epiblast
cell_67131,5,post Epiblast: IM+LPM
cell_67132,1,Caudal Epiblast
cell_67133,1,Caudal Epiblast
cell_67134,1,Caudal Epiblast
cell_67135,0,Blood
cell_67136,16,Endoderm
cell_67137,3,Immature cardiac (FHF)
cell_67138,4,Proneural Caudal/SC
cell_67139,0,Blood
cell_67140,6,Extraembryonic Mesoderm: allantois
cell_67141,11,Forebrain
cell_67142,6,Extraembryonic Mesoderm: allantois
cell_67143,15,ant Mesoderm
cell_67144,1,Caudal Epiblast
cell_67145,11,Forebrain
cell_67146,7,Early pxm
cell_67147,13,Endothelium
cell_67148,9,Lateral Plate mes (LPM)
cell_67149,0,Blood
cell_67150,19,Blood
cell_67151,4,Proneural Caudal/SC
cell_67152,0,Blood
cell_67153,16,Endoderm
cell_67154,9,Lateral Plate mes (LPM)
cell_67155,5,post Epiblast: IM+LPM
cell_67156,7,Early pxm
cell_67157,10,Pharyngeal endoderm 1
cell_67158,3,Immature cardiac (FHF)
cell_67159,0,Blood
cell_67160,16,Endoderm
cell_67161,6,Extraembryonic Mesoderm: allantois
cell_67162,9,Lateral Plate mes (LPM)
cell_67166,3,Immature cardiac (FHF)
cell_67167,7,Early pxm
cell_67168,0,Blood
cell_67169,15,ant Mesoderm
cell_67170,2,"Mid-brain, Hund-brain"
cell_67171,11,Forebrain
cell_67172,10,Pharyngeal endoderm 1
cell_67173,8,somites*
cell_67174,4,Proneural Caudal/SC
cell_67175,0,Blood
cell_67176,7,Early pxm
cell_67178,4,Proneural Caudal/SC
cell_67182,7,Early pxm
cell_67183,18,FHF
cell_67184,0,Blood
cell_67185,11,Forebrain
cell_67186,2,"Mid-brain, Hund-brain"
cell_67187,13,Endothelium
cell_67188,7,Early pxm
cell_67189,5,post Epiblast: IM+LPM
cell_67190,10,Pharyngeal endoderm 1
cell_67191,8,somites*
cell_67192,0,Blood
cell_67193,2,"Mid-brain, Hund-brain"
cell_67194,8,somites*
cell_67195,14,Pharyngeal endoderm 2
cell_67197,7,Early pxm
cell_67200,13,Endothelium
cell_67201,16,Endoderm
cell_67202,5,post Epiblast: IM+LPM
cell_67203,4,Proneural Caudal/SC
cell_67204,0,Blood
cell_67205,1,Caudal Epiblast
cell_67206,1,Caudal Epiblast
cell_67207,3,Immature cardiac (FHF)
cell_67208,17,?
cell_67209,5,post Epiblast: IM+LPM
cell_67210,14,Pharyngeal endoderm 2
cell_67211,2,"Mid-brain, Hund-brain"
cell_67212,0,Blood
cell_67213,2,"Mid-brain, Hund-brain"
cell_67214,7,Early pxm
cell_67215,8,somites*
cell_67217,14,Pharyngeal endoderm 2
cell_67218,3,Immature cardiac (FHF)
cell_67219,1,Caudal Epiblast
cell_67220,9,Lateral Plate mes (LPM)
cell_67221,2,"Mid-brain, Hund-brain"
cell_67222,13,Endothelium
cell_67223,11,Forebrain
cell_67224,8,somites*
cell_67225,6,Extraembryonic Mesoderm: allantois
cell_67226,1,Caudal Epiblast
cell_67227,8,somites*
cell_67228,15,ant Mesoderm
cell_67229,15,ant Mesoderm
cell_67230,17,?
cell_67231,2,"Mid-brain, Hund-brain"
cell_67232,0,Blood
cell_67235,7,Early pxm
cell_67236,13,Endothelium
cell_67237,1,Caudal Epiblast
cell_67238,4,Proneural Caudal/SC
cell_67239,5,post Epiblast: IM+LPM
cell_67240,0,Blood
cell_67241,10,Pharyngeal endoderm 1
cell_67242,7,Early pxm
cell_67243,7,Early pxm
cell_67244,3,Immature cardiac (FHF)
cell_67245,16,Endoderm
cell_67246,14,Pharyngeal endoderm 2
cell_67248,2,"Mid-brain, Hund-brain"
cell_67249,12,Visceral Endoderm
cell_67250,6,Extraembryonic Mesoderm: allantois
cell_67251,2,"Mid-brain, Hund-brain"
cell_67252,2,"Mid-brain, Hund-brain"
cell_67253,4,Proneural Caudal/SC
cell_67254,0,Blood
cell_67255,10,Pharyngeal endoderm 1
cell_67256,4,Proneural Caudal/SC
cell_67259,7,Early pxm
cell_67260,0,Blood
cell_67261,9,Lateral Plate mes (LPM)
cell_67262,6,Extraembryonic Mesoderm: allantois
cell_67263,1,Caudal Epiblast
cell_67265,2,"Mid-brain, Hund-brain"
cell_67266,3,Immature cardiac (FHF)
cell_67267,1,Caudal Epiblast
cell_67268,13,Endothelium
cell_67269,9,Lateral Plate mes (LPM)
cell_67270,6,Extraembryonic Mesoderm: allantois
cell_67271,7,Early pxm
cell_67272,19,Blood
cell_67273,5,post Epiblast: IM+LPM
cell_67274,1,Caudal Epiblast
cell_67275,13,Endothelium
cell_67276,2,"Mid-brain, Hund-brain"
cell_67277,0,Blood
cell_67278,1,Caudal Epiblast
cell_67279,10,Pharyngeal endoderm 1
cell_67280,16,Endoderm
cell_67281,14,Pharyngeal endoderm 2
cell_67282,11,Forebrain
cell_67283,10,Pharyngeal endoderm 1
cell_67284,10,Pharyngeal endoderm 1
cell_67285,10,Pharyngeal endoderm 1
cell_67286,11,Forebrain
cell_67288,11,Forebrain
cell_67289,0,Blood
cell_67290,1,Caudal Epiblast
cell_67291,3,Immature cardiac (FHF)
cell_67292,3,Immature cardiac (FHF)
cell_67293,2,"Mid-brain, Hund-brain"
cell_67294,2,"Mid-brain, Hund-brain"
cell_67295,6,Extraembryonic Mesoderm: allantois
cell_67296,8,somites*
cell_67297,10,Pharyngeal endoderm 1
cell_67298,10,Pharyngeal endoderm 1
cell_67299,5,post Epiblast: IM+LPM
cell_67300,4,Proneural Caudal/SC
cell_67301,4,Proneural Caudal/SC
cell_67304,12,Visceral Endoderm
cell_67305,2,"Mid-brain, Hund-brain"
cell_67307,3,Immature cardiac (FHF)
cell_67308,9,Lateral Plate mes (LPM)
cell_67309,0,Blood
cell_67310,14,Pharyngeal endoderm 2
cell_67311,14,Pharyngeal endoderm 2
cell_67312,5,post Epiblast: IM+LPM
cell_67313,1,Caudal Epiblast
cell_67314,8,somites*
cell_67315,16,Endoderm
cell_67316,6,Extraembryonic Mesoderm: allantois
cell_67317,0,Blood
cell_67318,15,ant Mesoderm
cell_67319,0,Blood
cell_67320,5,post Epiblast: IM+LPM
cell_67321,4,Proneural Caudal/SC
cell_67322,4,Proneural Caudal/SC
cell_67323,7,Early pxm
cell_67324,11,Forebrain
cell_67325,4,Proneural Caudal/SC
cell_67326,6,Extraembryonic Mesoderm: allantois
cell_67327,12,Visceral Endoderm
cell_67328,3,Immature cardiac (FHF)
cell_67329,4,Proneural Caudal/SC
cell_67330,3,Immature cardiac (FHF)
cell_67331,21,PGCs
cell_67332,4,Proneural Caudal/SC
cell_67333,7,Early pxm
cell_67334,4,Proneural Caudal/SC
cell_67335,0,Blood
cell_67336,7,Early pxm
cell_67337,20,Node
cell_67338,10,Pharyngeal endoderm 1
cell_67339,1,Caudal Epiblast
cell_67340,9,Lateral Plate mes (LPM)
cell_67341,6,Extraembryonic Mesoderm: allantois
cell_67343,1,Caudal Epiblast
cell_67344,1,Caudal Epiblast
cell_67345,2,"Mid-brain, Hund-brain"
cell_67346,11,Forebrain
cell_67347,8,somites*
cell_67348,0,Blood
cell_67349,7,Early pxm
cell_67350,3,Immature cardiac (FHF)
cell_67351,12,Visceral Endoderm
cell_67352,2,"Mid-brain, Hund-brain"
cell_67353,1,Caudal Epiblast
cell_67354,0,Blood
cell_67355,7,Early pxm
cell_67356,2,"Mid-brain, Hund-brain"
cell_67358,11,Forebrain
cell_67359,3,Immature cardiac (FHF)
cell_67360,3,Immature cardiac (FHF)
cell_67361,2,"Mid-brain, Hund-brain"
cell_67362,0,Blood
cell_67363,0,Blood
cell_67364,2,"Mid-brain, Hund-brain"
cell_67365,3,Immature cardiac (FHF)
cell_67366,16,Endoderm
cell_67367,2,"Mid-brain, Hund-brain"
cell_67368,6,Extraembryonic Mesoderm: allantois
cell_67369,0,Blood
cell_67370,16,Endoderm
cell_67371,1,Caudal Epiblast
cell_67372,1,Caudal Epiblast
cell_67373,7,Early pxm
cell_67374,1,Caudal Epiblast
cell_67375,13,Endothelium
cell_67376,4,Proneural Caudal/SC
cell_67377,4,Proneural Caudal/SC
cell_67378,14,Pharyngeal endoderm 2
cell_67379,13,Endothelium
cell_67380,1,Caudal Epiblast
cell_67381,7,Early pxm
cell_67382,1,Caudal Epiblast
cell_67383,6,Extraembryonic Mesoderm: allantois
cell_67384,4,Proneural Caudal/SC
cell_67385,4,Proneural Caudal/SC
cell_67386,3,Immature cardiac (FHF)
cell_67387,4,Proneural Caudal/SC
cell_67388,1,Caudal Epiblast
cell_67389,3,Immature cardiac (FHF)
cell_67391,5,post Epiblast: IM+LPM
cell_67392,2,"Mid-brain, Hund-brain"
cell_67393,8,somites*
cell_67394,5,post Epiblast: IM+LPM
cell_67395,5,post Epiblast: IM+LPM
cell_67396,1,Caudal Epiblast
cell_67397,5,post Epiblast: IM+LPM
cell_67398,2,"Mid-brain, Hund-brain"
cell_67399,7,Early pxm
cell_67400,17,?
cell_67401,1,Caudal Epiblast
cell_67402,3,Immature cardiac (FHF)
cell_67403,12,Visceral Endoderm
cell_67404,3,Immature cardiac (FHF)
cell_67405,2,"Mid-brain, Hund-brain"
cell_67406,18,FHF
cell_67407,0,Blood
cell_67408,9,Lateral Plate mes (LPM)
cell_67409,6,Extraembryonic Mesoderm: allantois
cell_67410,13,Endothelium
cell_67411,15,ant Mesoderm
cell_67412,17,?
cell_67413,2,"Mid-brain, Hund-brain"
cell_67414,1,Caudal Epiblast
cell_67416,2,"Mid-brain, Hund-brain"
cell_67417,7,Early pxm
cell_67418,16,Endoderm
cell_67419,8,somites*
cell_67420,4,Proneural Caudal/SC
cell_67421,17,?
cell_67422,3,Immature cardiac (FHF)
cell_67423,1,Caudal Epiblast
cell_67424,5,post Epiblast: IM+LPM
cell_67425,10,Pharyngeal endoderm 1
cell_67426,6,Extraembryonic Mesoderm: allantois
cell_67427,9,Lateral Plate mes (LPM)
cell_67428,0,Blood
cell_67429,1,Caudal Epiblast
cell_67430,5,post Epiblast: IM+LPM
cell_67431,2,"Mid-brain, Hund-brain"
cell_67432,7,Early pxm
cell_67433,16,Endoderm
cell_67434,0,Blood
cell_67435,6,Extraembryonic Mesoderm: allantois
cell_67436,11,Forebrain
cell_67437,2,"Mid-brain, Hund-brain"
cell_67438,3,Immature cardiac (FHF)
cell_67439,0,Blood
cell_67440,11,Forebrain
cell_67442,1,Caudal Epiblast
cell_67443,1,Caudal Epiblast
cell_67444,5,post Epiblast: IM+LPM
cell_67445,17,?
cell_67446,2,"Mid-brain, Hund-brain"
cell_67447,10,Pharyngeal endoderm 1
cell_67448,4,Proneural Caudal/SC
cell_67449,2,"Mid-brain, Hund-brain"
cell_67450,7,Early pxm
cell_67451,1,Caudal Epiblast
cell_67452,1,Caudal Epiblast
cell_67453,8,somites*
cell_67454,2,"Mid-brain, Hund-brain"
cell_67455,9,Lateral Plate mes (LPM)
cell_67457,3,Immature cardiac (FHF)
cell_67458,3,Immature cardiac (FHF)
cell_67459,10,Pharyngeal endoderm 1
cell_67460,3,Immature cardiac (FHF)
cell_67461,0,Blood
cell_67462,4,Proneural Caudal/SC
cell_67464,5,post Epiblast: IM+LPM
cell_67465,9,Lateral Plate mes (LPM)
cell_67466,6,Extraembryonic Mesoderm: allantois
cell_67468,2,"Mid-brain, Hund-brain"
cell_67469,5,post Epiblast: IM+LPM
cell_67470,0,Blood
cell_67471,0,Blood
cell_67473,15,ant Mesoderm
cell_67475,20,Node
cell_67476,19,Blood
cell_67477,14,Pharyngeal endoderm 2
cell_67478,11,Forebrain
cell_67479,13,Endothelium
cell_67480,10,Pharyngeal endoderm 1
cell_67481,1,Caudal Epiblast
cell_67482,3,Immature cardiac (FHF)
cell_67483,6,Extraembryonic Mesoderm: allantois
cell_67484,5,post Epiblast: IM+LPM
cell_67485,2,"Mid-brain, Hund-brain"
cell_67486,7,Early pxm
cell_67487,5,post Epiblast: IM+LPM
cell_67488,6,Extraembryonic Mesoderm: allantois
cell_67489,10,Pharyngeal endoderm 1
cell_67490,1,Caudal Epiblast
cell_67491,2,"Mid-brain, Hund-brain"
cell_67492,9,Lateral Plate mes (LPM)
cell_67493,10,Pharyngeal endoderm 1
cell_67494,-1,
cell_67495,19,Blood
cell_67496,1,Caudal Epiblast
cell_67497,1,Caudal Epiblast
cell_67498,13,Endothelium
cell_67499,2,"Mid-brain, Hund-brain"
cell_67500,2,"Mid-brain, Hund-brain"
cell_67501,0,Blood
cell_67502,7,Early pxm
cell_67503,0,Blood
cell_67504,2,"Mid-brain, Hund-brain"
cell_67505,0,Blood
cell_67506,9,Lateral Plate mes (LPM)
cell_67507,14,Pharyngeal endoderm 2
cell_67508,0,Blood
cell_67509,17,?
cell_67512,1,Caudal Epiblast
cell_67513,1,Caudal Epiblast
cell_67515,1,Caudal Epiblast
cell_67516,6,Extraembryonic Mesoderm: allantois
cell_67517,5,post Epiblast: IM+LPM
cell_67520,9,Lateral Plate mes (LPM)
cell_67521,0,Blood
cell_67522,18,FHF
cell_67523,2,"Mid-brain, Hund-brain"
cell_67524,0,Blood
cell_67525,15,ant Mesoderm
cell_67526,6,Extraembryonic Mesoderm: allantois
cell_67527,8,somites*
cell_67528,1,Caudal Epiblast
cell_67529,13,Endothelium
cell_67531,19,Blood
cell_67532,18,FHF
cell_67533,10,Pharyngeal endoderm 1
cell_67535,3,Immature cardiac (FHF)
cell_67536,5,post Epiblast: IM+LPM
cell_67537,15,ant Mesoderm
cell_67538,19,Blood
cell_67539,1,Caudal Epiblast
cell_67540,0,Blood
cell_67541,14,Pharyngeal endoderm 2
cell_67542,5,post Epiblast: IM+LPM
cell_67543,3,Immature cardiac (FHF)
cell_67544,9,Lateral Plate mes (LPM)
cell_67545,18,FHF
cell_67547,0,Blood
cell_67548,2,"Mid-brain, Hund-brain"
cell_67549,3,Immature cardiac (FHF)
cell_67550,1,Caudal Epiblast
cell_67551,1,Caudal Epiblast
cell_67552,13,Endothelium
cell_67553,1,Caudal Epiblast
cell_67555,11,Forebrain
cell_67557,5,post Epiblast: IM+LPM
cell_67558,5,post Epiblast: IM+LPM
cell_67559,5,post Epiblast: IM+LPM
cell_67560,2,"Mid-brain, Hund-brain"
cell_67561,9,Lateral Plate mes (LPM)
cell_67562,8,somites*
cell_67563,4,Proneural Caudal/SC
cell_67564,5,post Epiblast: IM+LPM
cell_67565,10,Pharyngeal endoderm 1
cell_67566,0,Blood
cell_67568,3,Immature cardiac (FHF)
cell_67569,18,FHF
cell_67570,13,Endothelium
cell_67571,6,Extraembryonic Mesoderm: allantois
cell_67574,5,post Epiblast: IM+LPM
cell_67575,8,somites*
cell_67576,9,Lateral Plate mes (LPM)
cell_67577,10,Pharyngeal endoderm 1
cell_67578,5,post Epiblast: IM+LPM
cell_67579,0,Blood
cell_67580,1,Caudal Epiblast
cell_67581,4,Proneural Caudal/SC
cell_67582,16,Endoderm
cell_67583,0,Blood
cell_67584,5,post Epiblast: IM+LPM
cell_67586,5,post Epiblast: IM+LPM
cell_67587,10,Pharyngeal endoderm 1
cell_67588,8,somites*
cell_67589,19,Blood
cell_67590,7,Early pxm
cell_67591,6,Extraembryonic Mesoderm: allantois
cell_67592,6,Extraembryonic Mesoderm: allantois
cell_67593,20,Node
cell_67594,1,Caudal Epiblast
cell_67595,9,Lateral Plate mes (LPM)
cell_67596,7,Early pxm
cell_67597,4,Proneural Caudal/SC
cell_67598,8,somites*
cell_67599,1,Caudal Epiblast
cell_67600,4,Proneural Caudal/SC
cell_67602,6,Extraembryonic Mesoderm: allantois
cell_67603,0,Blood
cell_67604,11,Forebrain
cell_67605,3,Immature cardiac (FHF)
cell_67606,2,"Mid-brain, Hund-brain"
cell_67607,0,Blood
cell_67608,6,Extraembryonic Mesoderm: allantois
cell_67609,4,Proneural Caudal/SC
cell_67610,9,Lateral Plate mes (LPM)
cell_67611,6,Extraembryonic Mesoderm: allantois
cell_67612,5,post Epiblast: IM+LPM
cell_67613,5,post Epiblast: IM+LPM
cell_67614,1,Caudal Epiblast
cell_67615,0,Blood
cell_67616,5,post Epiblast: IM+LPM
cell_67617,6,Extraembryonic Mesoderm: allantois
cell_67618,1,Caudal Epiblast
cell_67620,8,somites*
cell_67621,1,Caudal Epiblast
cell_67622,5,post Epiblast: IM+LPM
cell_67623,7,Early pxm
cell_67624,11,Forebrain
cell_67625,1,Caudal Epiblast
cell_67626,15,ant Mesoderm
cell_67628,6,Extraembryonic Mesoderm: allantois
cell_67629,0,Blood
cell_67630,1,Caudal Epiblast
cell_67631,11,Forebrain
cell_67632,1,Caudal Epiblast
cell_67633,8,somites*
cell_67635,6,Extraembryonic Mesoderm: allantois
cell_67636,7,Early pxm
cell_67637,2,"Mid-brain, Hund-brain"
cell_67638,5,post Epiblast: IM+LPM
cell_67639,1,Caudal Epiblast
cell_67640,4,Proneural Caudal/SC
cell_67641,13,Endothelium
cell_67643,9,Lateral Plate mes (LPM)
cell_67644,2,"Mid-brain, Hund-brain"
cell_67645,1,Caudal Epiblast
cell_67646,11,Forebrain
cell_67647,1,Caudal Epiblast
cell_67648,0,Blood
cell_67649,3,Immature cardiac (FHF)
cell_67650,6,Extraembryonic Mesoderm: allantois
cell_67652,0,Blood
cell_67653,4,Proneural Caudal/SC
cell_67654,4,Proneural Caudal/SC
cell_67655,8,somites*
cell_67656,18,FHF
cell_67658,7,Early pxm
cell_67659,10,Pharyngeal endoderm 1
cell_67660,13,Endothelium
cell_67661,3,Immature cardiac (FHF)
cell_67662,1,Caudal Epiblast
cell_67663,14,Pharyngeal endoderm 2
cell_67664,3,Immature cardiac (FHF)
cell_67665,6,Extraembryonic Mesoderm: allantois
cell_67667,0,Blood
cell_67668,3,Immature cardiac (FHF)
cell_67670,14,Pharyngeal endoderm 2
cell_67671,3,Immature cardiac (FHF)
cell_67672,4,Proneural Caudal/SC
cell_67673,11,Forebrain
cell_67674,4,Proneural Caudal/SC
cell_67675,0,Blood
cell_67676,2,"Mid-brain, Hund-brain"
cell_67677,3,Immature cardiac (FHF)
cell_67679,5,post Epiblast: IM+LPM
cell_67680,2,"Mid-brain, Hund-brain"
cell_67681,9,Lateral Plate mes (LPM)
cell_67682,2,"Mid-brain, Hund-brain"
cell_67683,7,Early pxm
cell_67685,0,Blood
cell_67686,6,Extraembryonic Mesoderm: allantois
cell_67687,0,Blood
cell_67689,20,Node
cell_67690,1,Caudal Epiblast
cell_67691,10,Pharyngeal endoderm 1
cell_67693,2,"Mid-brain, Hund-brain"
cell_67694,11,Forebrain
cell_67695,17,?
cell_67696,1,Caudal Epiblast
cell_67697,1,Caudal Epiblast
cell_67698,3,Immature cardiac (FHF)
cell_67699,4,Proneural Caudal/SC
cell_67700,3,Immature cardiac (FHF)
cell_67701,13,Endothelium
cell_67702,7,Early pxm
cell_67703,17,?
cell_67704,0,Blood
cell_67706,12,Visceral Endoderm
cell_67707,2,"Mid-brain, Hund-brain"
cell_67708,5,post Epiblast: IM+LPM
cell_67710,18,FHF
cell_67711,7,Early pxm
cell_67712,1,Caudal Epiblast
cell_67713,2,"Mid-brain, Hund-brain"
cell_67714,3,Immature cardiac (FHF)
cell_67716,13,Endothelium
cell_67717,7,Early pxm
cell_67718,19,Blood
cell_67719,10,Pharyngeal endoderm 1
cell_67720,7,Early pxm
cell_67723,4,Proneural Caudal/SC
cell_67724,0,Blood
cell_67725,0,Blood
cell_67726,4,Proneural Caudal/SC
cell_67727,16,Endoderm
cell_67728,2,"Mid-brain, Hund-brain"
cell_67729,18,FHF
cell_67730,1,Caudal Epiblast
cell_67731,4,Proneural Caudal/SC
cell_67732,11,Forebrain
cell_67733,7,Early pxm
cell_67734,5,post Epiblast: IM+LPM
cell_67736,0,Blood
cell_67737,2,"Mid-brain, Hund-brain"
cell_67738,1,Caudal Epiblast
cell_67739,7,Early pxm
cell_67740,7,Early pxm
cell_67741,16,Endoderm
cell_67742,11,Forebrain
cell_67743,2,"Mid-brain, Hund-brain"
cell_67745,18,FHF
cell_67746,13,Endothelium
cell_67747,5,post Epiblast: IM+LPM
cell_67748,10,Pharyngeal endoderm 1
cell_67750,3,Immature cardiac (FHF)
cell_67751,12,Visceral Endoderm
cell_67752,6,Extraembryonic Mesoderm: allantois
cell_67753,7,Early pxm
cell_67754,0,Blood
cell_67755,5,post Epiblast: IM+LPM
cell_67756,4,Proneural Caudal/SC
cell_67757,8,somites*
cell_67758,7,Early pxm
cell_67759,2,"Mid-brain, Hund-brain"
cell_67760,5,post Epiblast: IM+LPM
cell_67761,4,Proneural Caudal/SC
cell_67762,9,Lateral Plate mes (LPM)
cell_67763,5,post Epiblast: IM+LPM
cell_67764,0,Blood
cell_67765,2,"Mid-brain, Hund-brain"
cell_67766,13,Endothelium
cell_67767,11,Forebrain
cell_67768,11,Forebrain
cell_67769,5,post Epiblast: IM+LPM
cell_67770,4,Proneural Caudal/SC
cell_67771,16,Endoderm
cell_67772,1,Caudal Epiblast
cell_67774,2,"Mid-brain, Hund-brain"
cell_67775,0,Blood
cell_67776,8,somites*
cell_67778,4,Proneural Caudal/SC
cell_67779,1,Caudal Epiblast
cell_67780,10,Pharyngeal endoderm 1
cell_67781,4,Proneural Caudal/SC
cell_67782,4,Proneural Caudal/SC
cell_67783,2,"Mid-brain, Hund-brain"
cell_67784,10,Pharyngeal endoderm 1
cell_67785,16,Endoderm
cell_67786,2,"Mid-brain, Hund-brain"
cell_67787,7,Early pxm
cell_67788,10,Pharyngeal endoderm 1
cell_67789,15,ant Mesoderm
cell_67790,11,Forebrain
cell_67791,4,Proneural Caudal/SC
cell_67793,3,Immature cardiac (FHF)
cell_67794,4,Proneural Caudal/SC
cell_67795,9,Lateral Plate mes (LPM)
cell_67796,0,Blood
cell_67797,1,Caudal Epiblast
cell_67799,1,Caudal Epiblast
cell_67800,14,Pharyngeal endoderm 2
cell_67801,14,Pharyngeal endoderm 2
cell_67802,10,Pharyngeal endoderm 1
cell_67803,2,"Mid-brain, Hund-brain"
cell_67804,4,Proneural Caudal/SC
cell_67805,10,Pharyngeal endoderm 1
cell_67806,7,Early pxm
cell_67807,14,Pharyngeal endoderm 2
cell_67808,4,Proneural Caudal/SC
cell_67810,2,"Mid-brain, Hund-brain"
cell_67811,5,post Epiblast: IM+LPM
cell_67812,6,Extraembryonic Mesoderm: allantois
cell_67813,14,Pharyngeal endoderm 2
cell_67815,0,Blood
cell_67816,3,Immature cardiac (FHF)
cell_67817,8,somites*
cell_67818,4,Proneural Caudal/SC
cell_67819,1,Caudal Epiblast
cell_67820,4,Proneural Caudal/SC
cell_67821,5,post Epiblast: IM+LPM
cell_67822,6,Extraembryonic Mesoderm: allantois
cell_67823,4,Proneural Caudal/SC
cell_67824,1,Caudal Epiblast
cell_67826,3,Immature cardiac (FHF)
cell_67827,8,somites*
cell_67828,9,Lateral Plate mes (LPM)
cell_67829,9,Lateral Plate mes (LPM)
cell_67830,0,Blood
cell_67831,3,Immature cardiac (FHF)
cell_67832,3,Immature cardiac (FHF)
cell_67833,0,Blood
cell_67835,5,post Epiblast: IM+LPM
cell_67836,4,Proneural Caudal/SC
cell_67837,1,Caudal Epiblast
cell_67838,10,Pharyngeal endoderm 1
cell_67839,3,Immature cardiac (FHF)
cell_67841,11,Forebrain
cell_67842,13,Endothelium
cell_67843,2,"Mid-brain, Hund-brain"
cell_67844,3,Immature cardiac (FHF)
cell_67845,14,Pharyngeal endoderm 2
cell_67846,10,Pharyngeal endoderm 1
cell_67847,17,?
cell_67848,5,post Epiblast: IM+LPM
cell_67849,19,Blood
cell_67850,2,"Mid-brain, Hund-brain"
cell_67852,7,Early pxm
cell_67853,7,Early pxm
cell_67854,1,Caudal Epiblast
cell_67855,19,Blood
cell_67856,9,Lateral Plate mes (LPM)
cell_67858,3,Immature cardiac (FHF)
cell_67859,10,Pharyngeal endoderm 1
cell_67860,7,Early pxm
cell_67861,2,"Mid-brain, Hund-brain"
cell_67864,14,Pharyngeal endoderm 2
cell_67865,8,somites*
cell_67866,3,Immature cardiac (FHF)
cell_67867,3,Immature cardiac (FHF)
cell_67868,4,Proneural Caudal/SC
cell_67869,6,Extraembryonic Mesoderm: allantois
cell_67870,6,Extraembryonic Mesoderm: allantois
cell_67871,8,somites*
cell_67872,4,Proneural Caudal/SC
cell_67873,1,Caudal Epiblast
cell_67874,13,Endothelium
cell_67875,7,Early pxm
cell_67876,5,post Epiblast: IM+LPM
cell_67877,1,Caudal Epiblast
cell_67878,13,Endothelium
cell_67879,0,Blood
cell_67880,15,ant Mesoderm
cell_67881,5,post Epiblast: IM+LPM
cell_67882,7,Early pxm
cell_67883,9,Lateral Plate mes (LPM)
cell_67884,4,Proneural Caudal/SC
cell_67885,9,Lateral Plate mes (LPM)
cell_67886,4,Proneural Caudal/SC
cell_67888,16,Endoderm
cell_67889,14,Pharyngeal endoderm 2
cell_67890,3,Immature cardiac (FHF)
cell_67891,0,Blood
cell_67892,18,FHF
cell_67893,9,Lateral Plate mes (LPM)
cell_67894,1,Caudal Epiblast
cell_67895,8,somites*
cell_67896,12,Visceral Endoderm
cell_67898,3,Immature cardiac (FHF)
cell_67899,9,Lateral Plate mes (LPM)
cell_67901,1,Caudal Epiblast
cell_67902,5,post Epiblast: IM+LPM
cell_67904,8,somites*
cell_67905,1,Caudal Epiblast
cell_67906,4,Proneural Caudal/SC
cell_67907,10,Pharyngeal endoderm 1
cell_67908,11,Forebrain
cell_67909,11,Forebrain
cell_67910,10,Pharyngeal endoderm 1
cell_67912,12,Visceral Endoderm
cell_67914,5,post Epiblast: IM+LPM
cell_67915,8,somites*
cell_67916,3,Immature cardiac (FHF)
