Cell,Louvain_Stage,Annotation_Stage
cell_955,9,
cell_956,12,
cell_957,2,
cell_958,7,
cell_959,4,
cell_960,5,
cell_961,0,
cell_962,6,
cell_963,15,
cell_964,11,
cell_965,7,
cell_966,2,
cell_968,1,
cell_969,8,
cell_970,12,
cell_972,1,
cell_973,7,
cell_974,0,
cell_975,5,
cell_976,4,
cell_977,5,
cell_978,9,
cell_979,5,
cell_980,12,
cell_981,1,
cell_982,2,
cell_983,1,
cell_984,12,
cell_985,0,
cell_986,11,
cell_987,10,
cell_988,0,
cell_989,1,
cell_990,0,
cell_991,0,
cell_992,1,
cell_994,6,
cell_995,0,
cell_996,5,
cell_997,7,
cell_998,12,
cell_1000,9,
cell_1002,11,
cell_1003,2,
cell_1004,11,
cell_1005,11,
cell_1006,0,
cell_1007,3,
cell_1008,0,
cell_1011,11,
cell_1012,1,
cell_1014,4,
cell_1015,5,
cell_1016,12,
cell_1018,1,
cell_1019,0,
cell_1020,7,
cell_1023,5,
cell_1024,10,
cell_1025,10,
cell_1026,12,
cell_1027,0,
cell_1028,10,
cell_1029,2,
cell_1030,1,
cell_1031,8,
cell_1032,10,
cell_1033,0,
cell_1034,0,
cell_1036,8,
cell_1037,12,
cell_1038,0,
cell_1039,6,
cell_1040,4,
cell_1041,2,
cell_1042,5,
cell_1043,12,
cell_1045,2,
cell_1048,7,
cell_1049,7,
cell_1050,10,
cell_1051,12,
cell_1052,1,
cell_1053,5,
cell_1055,0,
cell_1056,2,
cell_1057,4,
cell_1058,0,
cell_1059,1,
cell_1060,0,
cell_1061,4,
cell_1062,2,
cell_1063,1,
cell_1064,3,
cell_1065,7,
cell_1066,11,
cell_1067,7,
cell_1068,3,
cell_1071,0,
cell_1072,5,
cell_1074,4,
cell_1075,2,
cell_1076,9,
cell_1077,12,
cell_1079,2,
cell_1081,12,
cell_1083,0,
cell_1084,8,
cell_1085,1,
cell_1087,3,
cell_1089,3,
cell_1090,0,
cell_1091,1,
