,Stage,Sample,Louvain,DPC
466,E7.5,2,0,3
467,E7.5,2,10,2
468,E7.5,2,8,7
469,E7.5,2,1,10
470,E7.5,2,12,5
474,E7.5,2,0,3
475,E7.5,2,0,3
476,E7.5,2,13,2
478,E7.5,2,9,8
481,E7.5,2,2,2
483,E7.5,2,8,11
485,E7.5,2,12,5
489,E7.5,2,0,3
490,E7.5,2,12,5
491,E7.5,2,1,10
492,E7.5,2,0,3
493,E7.5,2,4,4
494,E7.5,2,8,7
495,E7.5,2,6,10
496,E7.5,2,1,10
497,E7.5,2,8,11
498,E7.5,2,0,3
499,E7.5,2,5,4
500,E7.5,2,9,8
501,E7.5,2,4,4
502,E7.5,2,3,2
504,E7.5,2,1,10
505,E7.5,2,13,2
506,E7.5,2,10,4
507,E7.5,2,7,6
508,E7.5,2,7,5
509,E7.5,2,5,4
510,E7.5,2,0,3
511,E7.5,2,8,7
513,E7.5,2,4,4
515,E7.5,2,3,2
516,E7.5,2,0,3
517,E7.5,2,1,10
518,E7.5,2,8,11
519,E7.5,2,3,2
520,E7.5,2,1,10
522,E7.5,2,0,3
523,E7.5,2,12,4
525,E7.5,2,5,6
526,E7.5,2,6,10
527,E7.5,2,0,3
528,E7.5,2,4,4
529,E7.5,2,2,9
531,E7.5,2,7,6
532,E7.5,2,0,3
533,E7.5,2,4,4
538,E7.5,2,8,11
540,E7.5,2,4,4
541,E7.5,2,7,5
543,E7.5,2,6,10
545,E7.5,2,12,5
546,E7.5,2,11,3
547,E7.5,2,3,2
548,E7.5,2,8,7
549,E7.5,2,1,10
552,E7.5,2,6,10
553,E7.5,2,5,5
554,E7.5,2,10,2
555,E7.5,2,13,2
556,E7.5,2,7,6
558,E7.5,2,0,3
561,E7.5,2,5,4
562,E7.5,2,3,2
563,E7.5,2,12,4
564,E7.5,2,5,4
565,E7.5,2,10,2
566,E7.5,2,3,2
568,E7.5,2,1,10
571,E7.5,2,0,3
573,E7.5,2,6,10
576,E7.5,2,1,10
577,E7.5,2,11,0
579,E7.5,2,7,6
580,E7.5,2,0,3
581,E7.5,2,10,2
583,E7.5,2,3,2
584,E7.5,2,13,2
585,E7.5,2,0,3
586,E7.5,2,1,10
587,E7.5,2,0,3
588,E7.5,2,4,4
589,E7.5,2,10,2
593,E7.5,2,5,4
596,E7.5,2,3,2
598,E7.5,2,7,6
599,E7.5,2,0,3
600,E7.5,2,0,3
601,E7.5,2,10,4
602,E7.5,2,12,4
603,E7.5,2,1,10
604,E7.5,2,12,4
605,E7.5,2,5,4
606,E7.5,2,3,2
607,E7.5,2,4,4
608,E7.5,2,8,7
609,E7.5,2,9,8
611,E7.5,2,2,2
612,E7.5,2,7,5
613,E7.5,2,0,3
615,E7.5,2,7,6
616,E7.5,2,11,0
617,E7.5,2,5,6
618,E7.5,2,12,4
620,E7.5,2,4,4
622,E7.5,2,11,0
623,E7.5,2,4,4
625,E7.5,2,9,8
627,E7.5,2,4,4
629,E7.5,2,5,5
630,E7.5,2,0,3
631,E7.5,2,5,4
632,E7.5,2,10,2
633,E7.5,2,12,4
634,E7.5,2,4,4
636,E7.5,2,10,2
637,E7.5,2,5,5
638,E7.5,2,12,5
639,E7.5,2,3,2
642,E7.5,2,0,3
645,E7.5,2,12,4
651,E7.5,2,12,5
652,E7.5,2,12,4
653,E7.5,2,3,2
654,E7.5,2,11,3
655,E7.5,2,0,3
657,E7.5,2,4,4
658,E7.5,2,0,3
659,E7.5,2,7,6
660,E7.5,2,0,3
662,E7.5,2,10,4
663,E7.5,2,6,10
664,E7.5,2,10,4
665,E7.5,2,5,5
666,E7.5,2,5,5
669,E7.5,2,7,6
670,E7.5,2,4,4
671,E7.5,2,6,10
673,E7.5,2,6,10
675,E7.5,2,10,2
676,E7.5,2,12,4
677,E7.5,2,3,2
679,E7.5,2,1,10
680,E7.5,2,10,2
681,E7.5,2,3,2
682,E7.5,2,3,2
683,E7.5,2,7,6
685,E7.5,2,7,2
686,E7.5,2,1,10
688,E7.5,2,7,6
689,E7.5,2,10,2
692,E7.5,2,0,3
693,E7.5,2,7,6
694,E7.5,2,4,4
695,E7.5,2,12,5
696,E7.5,2,3,2
698,E7.5,2,1,10
699,E7.5,2,6,10
701,E7.5,2,5,4
702,E7.5,2,1,10
703,E7.5,2,2,9
704,E7.5,2,0,3
705,E7.5,2,3,2
706,E7.5,2,9,8
708,E7.5,2,8,11
710,E7.5,2,7,6
713,E7.5,2,10,2
716,E7.5,3,5,4
717,E7.5,3,7,5
719,E7.5,3,5,4
720,E7.5,3,2,2
721,E7.5,3,3,2
722,E7.5,3,10,2
723,E7.5,3,3,2
726,E7.5,3,1,10
727,E7.5,3,5,4
729,E7.5,3,13,2
731,E7.5,3,0,3
733,E7.5,3,0,3
734,E7.5,3,5,4
736,E7.5,3,8,11
737,E7.5,3,13,2
738,E7.5,3,0,3
739,E7.5,3,13,2
741,E7.5,3,0,3
742,E7.5,3,0,3
743,E7.5,3,0,3
744,E7.5,3,13,2
746,E7.5,3,4,4
747,E7.5,3,4,4
748,E7.5,3,5,5
